port,service
20,ftp
21,ftp
22,ssh
22,ssh
22,ssh
23,telnet
23,telnet
80,http
80,http
80,http
80,http
80,http
80,http
80,http
89,telnet
89,telnet
90,dns
90,dns
107,telnet
107,telnet
195,dns
195,dns
196,dns
196,dns
247,ftp
247,ftp
247,ftp
247,ftp
280,http
280,http
349,ftp
349,ftp
443,http
443,http
443,http
488,http
488,http
513,telnet
546,dhcp
546,dhcp
547,dhcp
547,dhcp
558,dns
558,dns
574,ftp
574,ftp
591,http
591,http
593,http
593,http
631,http
647,dhcp
647,dhcp
662,ftp
662,ftp
777,http
777,http
830,ssh
830,ssh
832,http
832,http
847,dhcp
847,dhcp
853,dns
853,dns
902,telnet
903,telnet
989,ftp
989,ftp
990,ftp
990,ftp
992,telnet
992,telnet
1001,http
1052,dns
1052,dns
1128,http
1128,http
1129,http
1129,http
1183,http
1183,http
1184,http
1184,http
1186,mysql
1186,mysql
1227,dns
1227,dns
1337,dns
1337,dns
1618,telnet
1618,telnet
1758,ftp
1758,ftp
1862,mysql
1862,mysql
1870,dns
1870,dns
2069,http
2069,http
2164,dns
2164,dns
2273,mysql
2273,mysql
2301,http
2301,http
2381,http
2381,http
2390,smtp
2390,smtp
2490,dhcp
2490,dhcp
2529,ftp
2529,ftp
2564,telnet
2564,telnet
2688,http
2688,http
2811,ftp
2811,ftp
2851,http
2851,http
3083,telnet
3083,telnet
3106,http
3106,http
3305,ftp
3305,ftp
3306,mysql
3306,mysql
3696,telnet
3696,telnet
3713,ftp
3713,ftp
3849,dns
3849,dns
3897,ssh
3897,ssh
4035,http
4035,http
4036,http
4036,http
4180,http
4180,http
4334,ssh
4590,http
4687,ftp
4687,ftp
4848,http
4848,http
4849,http
4849,http
5024,telnet
5024,telnet
5161,ssh
5162,ssh
5280,http
5352,dns
5352,dns
5353,dns
5353,dns
5354,dns
5354,dns
5402,ftp
5402,ftp
5443,http
5443,http
5554,http
5554,http
5985,http
5985,http
5986,http
5986,http
5988,http
5988,http
5989,http
5989,http
5990,http
5990,http
6252,ssh
6252,ssh
6443,http
6443,http
6446,mysql
6446,mysql
6480,http
6480,http
6619,ftp
6619,ftp
6620,ftp
6620,ftp
6621,ftp
6621,ftp
6622,ftp
6622,ftp
6623,telnet
6623,telnet
6770,http
6770,http
6771,http
6771,http
6788,http
6788,http
6842,http
6842,http
7443,http
7443,http
7677,http
7677,http
8008,http
8008,http
8080,http
8080,http
8084,http
8088,http
8088,http
8118,http
8118,http
8243,http
8243,http
8280,http
8280,http
8443,http
8443,http
8444,http
8444,http
8688,http
8765,http
8765,http
8910,http
8910,http
8953,dns
8990,http
8990,http
8991,http
8991,http
9294,http
9294,http
9295,http
9295,http
9306,mysql
9443,http
9443,http
9444,http
9444,http
9762,http
9762,http
9988,http
10880,http
10880,http
11371,http
11371,http
16992,http
16992,http
16993,http
16993,http
17235,ssh
17235,ssh
20002,http
20002,http
20003,http
20003,http
24680,http
24680,http
27504,http
27504,http
33060,mysql
44323,http
